Consecutivo;Tipo_entidad;Codigo_Entidad;Fecha_Corte;  Area;Tipo_Informe;CIDT        ;Codigo_Formato;Codigo_Clase;Codigo_Grupo;Codigo_Cuenta;Cod_SubCuenta;COL0                ;COL1                ;COL2
        273;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           2;           1;           16;           45;27549.00            ;27549.00            ;?
        625;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;            8;           46;122528687.00        ;122528687.00        ;?
        772;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;            2;           36;34489446.00         ;34489446.00         ;?
        527;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           2;           1;           30;           13;1318723400000.00    ;1318723400000.00    ;?
        368;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;           15;           58;415392215.00        ;415392215.00        ;?
        170;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           5;           1;           15;           12;3401697118.55       ;3359314928.69       ;42382189.86
        101;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           4;           1;           15;            4;21039859.00         ;?                   ;21039859.00
        916;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           96;           67;509329235.63        ;509329235.63        ;?
        450;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           30;           44;518782.00           ;518782.00           ;?
        263;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           74;           62;187665485085.90     ;187665485085.90     ;?
        174;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           85;           16;92693.00            ;92693.00            ;?
        503;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           96;           54;640230070.06        ;640230070.06        ;?
         21;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           2;           1;           56;            5;75234743.86         ;75234743.86         ;?
        849;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           30;           42;981928.00           ;981928.00           ;?
         56;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           97;           35;13133874.00         ;13133874.00         ;?
         75;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           88;           20;2785234430.88       ;2785234430.88       ;?
        209;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           8;           2;           88;            2;4741247831599.24    ;4440512589022.12    ;300735242577.12
          2;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           6;           4;           35;            0;150863494.00        ;150863494.00        ;?
        889;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           96;           82;91336.00            ;91336.00            ;?
        525;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           94;           66;169011363.33        ;169011363.33        ;?
        655;           1;             2; 2019-01-31;     1;           0;201903438000;Balance       ;           1;           6;           97;           60;37389036.33         ;37389036.33         ;?
